Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
SC0,05/04/03,Kilmarnock,Hibernian,6,2,H,3,1,H,J Underhill,14,12,8,8,11,19,3,6,0,3,0,0,1.8,3.4,3.75,1.85,3.3,3.75,1.85,3.1,3.6,1.8,3.5,3.5,1.83,3.25,3.75,1.833,3.25,3.75,1.83,3.3,3.6,1.9,1.7,,
SC0,05/04/03,Livingston,Aberdeen,1,2,A,1,2,A,H Dallas,18,15,12,9,14,6,4,8,2,1,0,0,2.2,3.25,2.8,2.2,3.3,2.9,2.2,3,2.9,2.2,3.2,2.8,2.2,3.25,2.8,2.2,3.2,2.875,2.2,3.25,2.75,1.75,1.85,,
SC0,05/04/03,Rangers,Partick,2,0,H,0,0,D,K Clark,22,4,11,4,11,16,7,0,0,1,0,0,1.1,7,15,1.1,7.4,17,1.1,7,15,1.111,6,17,1.11,6.5,17,1.111,6.5,17,1.11,6.5,15,1.5,2.5,,
SC0,06/04/03,Dundee,Celtic,1,1,D,1,1,D,W Young,8,10,5,6,9,5,5,11,0,0,0,0,9,5,1.25,10,5,1.25,9,4.5,1.25,8,4.5,1.286,8.5,5,1.25,9,5,1.25,8,4.5,1.28,1.45,2.28,,
SC0,12/04/03,Aberdeen,Dunfermline,1,0,H,1,0,H,I Brines,9,5,3,2,8,11,3,5,1,2,0,1,2.4,3.2,2.6,2.37,3.2,2.72,2.1,3.1,3,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.37,3.3,2.5,1.7,1.9,,
SC0,12/04/03,Hibernian,Livingston,2,2,D,1,0,H,J Rowbotham,11,13,7,7,19,11,2,1,2,0,0,0,1.727,3.5,4,1.81,3.33,4,1.75,3.3,3.8,1.833,3.2,3.75,1.8,3.25,4,1.8,3.25,4,1.8,3.4,3.6,1.75,1.85
SC0,12/04/03,Motherwell,Dundee,1,2,A,0,2,A,J Underhill,14,10,5,5,12,14,7,3,0,2,0,0,2.625,3.4,2.25,2.8,3.2,2.3,2.6,3.1,2.3,2.5,3.25,2.4,2.63,3.2,2.38,2.6,3.25,2.375,2.75,3.2,2.25,1.7,1.9
SC0,12/04/03,Partick,Hearts,1,1,D,0,0,D,M McCurry,5,14,3,9,14,16,4,6,1,0,0,0,2.75,3.25,2.25,2.85,3.25,2.25,2.8,3.1,2.2,2.75,3.2,2.25,2.8,3.2,2.25,2.8,3.2,2.25,2.87,3.3,2.1,1.7,1.9
SC0,13/04/03,Celtic,Kilmarnock,2,0,H,1,0,H,A Freeland,17,2,10,1,9,13,15,1,1,4,0,0,1.143,6.5,12,1.15,6,13,1.15,6,12,1.167,5.5,12,1.14,6,13,1.143,6,13,1.16,5.5,12,1.4,2.5
SC0,13/04/03,Dundee United,Rangers,1,4,A,0,3,A,D McDonald,8,7,7,5,19,12,8,7,1,3,0,0,10,5,1.222,11,5.5,1.2,10,5,1.2,12,5.5,1.167,12,5,1.2,12,5,1.2,9,5.5,1.2,1.6,2.05
SC0,19/04/03,Hearts,Celtic,2,1,H,0,0,D,J Rowbotham,14,8,8,7,16,10,8,4,3,1,0,0,7.5,4,1.364,7.55,4.1,1.36,6,3.9,1.4,7,3.75,1.4,8,4.2,1.33,8,4.2,1.333,8,3.75,1.36,1.55,2.15
SC0,26/04/03,Aberdeen,Livingston,1,0,H,1,0,H,J Underhill,12,8,6,2,8,16,7,5,2,2,0,1,1.833,3.25,3.75,2.05,3.3,3.1,2,3.1,3.2,2,3.4,3,1.91,3.25,3.5,1.909,3.25,3.5,2,3.2,3.2,1.7,1.9
SC0,26/04/03,Dundee United,Hibernian,1,2,A,1,0,H,M McCurry,9,13,6,9,11,16,7,5,2,2,0,0,2.2,3.25,2.8,2.26,3.3,2.73,2.4,3,2.6,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.1,3.2,3,1.65,1.95
SC0,26/04/03,Dunfermline,Hearts,0,1,A,0,0,D,K Clark,3,5,1,4,16,18,3,5,0,1,0,0,2.6,3.2,2.4,2.52,3.25,2.46,2.2,3.1,2.8,2.625,3.4,2.25,2.5,3.2,2.5,2.5,3.2,2.5,2.3,3.3,2.6,1.85,1.75
SC0,26/04/03,Partick,Motherwell,3,0,H,1,0,H,I Brines,12,5,9,1,14,16,5,4,1,3,0,0,2.1,3.25,3,2.1,3.2,3.1,2,3.1,3.2,2.2,3.5,2.625,2,3.25,3.25,2,3.25,3.25,2,3.3,3.1,1.7,1.9
SC0,27/04/03,Dundee,Kilmarnock,0,1,A,0,0,D,S Conroy,12,6,8,4,8,15,13,5,0,2,0,0,2.3,3.2,2.7,2.37,3.3,2.56,2.4,3,2.6,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.3,2.62,1.7,1.9
SC0,27/04/03,Rangers,Celtic,1,2,A,0,2,A,H Dallas,10,7,0,1,18,19,5,6,3,4,0,0,2.2,3.25,2.8,2.3,3.35,2.7,2.2,3,2.9,2.1,3.4,2.875,2.2,3.25,2.8,2.2,3.25,2.8,2.2,3.1,2.87,1.55,2.15
SC0,03/05/03,Dunfermline,Celtic,1,4,A,0,3,A,A Freeland,8,8,5,5,14,11,7,5,1,0,0,0,10,5.5,1.2,8.5,5,1.26,9,4.5,1.25,11,5,1.2,8.5,5,1.25,9,5,1.25,9.5,5,1.22,,
SC0,03/05/03,Hibernian,Aberdeen,3,1,H,1,0,H,C Richmond,13,12,8,5,15,14,4,6,2,1,0,0,2,3.25,3.25,2.06,3.23,3.16,2.2,3,2.9,2.2,3.25,2.75,2.1,3.25,3,2.1,3.25,3,2.25,3.2,2.75,1.65,1.95
SC0,03/05/03,Kilmarnock,Hearts,1,0,H,1,0,H,D McDonald,11,6,6,4,23,23,2,2,6,4,0,2,2.4,3.2,2.6,2.37,3.23,2.63,2.4,2.8,2.8,2.25,3.2,2.75,2.38,3.2,2.63,2.375,3.2,2.625,2.37,3.1,2.62,1.9,1.7
SC0,03/05/03,Livingston,Partick,3,1,H,2,1,H,D Somers,13,7,9,3,25,17,4,7,3,1,0,0,2,3.25,3.25,2.1,3.25,3.1,2,2.9,3.4,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2.1,3.2,3,1.8,1.8
SC0,03/05/03,Motherwell,Dundee United,2,2,D,1,0,H,H Dallas,11,8,7,7,18,20,4,2,2,4,0,0,2.2,3.25,2.8,2.2,3.25,2.9,2.1,3,3.1,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.8,2.2,3.25,2.75,1.6,2.05,,,
SC0,04/05/03,Dundee,Rangers,2,2,D,2,1,H,J Rowbotham,8,13,4,6,14,10,3,9,3,2,0,0,9,5,1.25,8.5,5,1.26,9,4.5,1.25,10,5,1.222,8.5,4.5,1.29,8.5,4.5,1.286,8,5,1.25,,,,,
SC0,07/05/03,Motherwell,Celtic,0,4,A,0,1,A,D McDonald,4,16,3,11,21,9,9,5,4,1,1,0,10,5.5,1.2,12,5.3,1.2,10,5,1.2,12,6,1.143,11,6,1.17,11,6,1.167,10,6,1.16,1.35,2.75,,,
SC0,10/05/03,Aberdeen,Partick,2,1,H,0,1,A,C Thomson,11,5,6,2,10,15,10,5,2,0,0,0,1.8,3.25,4,1.82,3.33,3.85,1.9,3.1,3.5,1.727,3.5,3.75,1.83,3.25,3.75,1.833,3.25,3.75,1.9,3.25,3.4,1.9,1.7,,,
SC0,10/05/03,Celtic,Hearts,1,0,H,1,0,H,M McCurry,6,5,2,2,9,24,4,3,1,2,0,0,1.167,6,11,1.15,6.25,12,1.15,6,12,1.167,5.5,12,1.14,6,13,1.143,6,13,1.16,6,10,1.45,2.35,,,
SC0,10/05/03,Dundee,Dunfermline,2,2,D,1,0,H,C Murray,13,6,8,5,10,16,7,6,1,2,0,0,2,3.25,3.25,2,3.25,3.4,2,3.1,3.2,1.8,3.25,3.75,2,3.25,3.25,2,3.25,3.25,1.9,3.3,3.3,1.7,1.95,,,
SC0,10/05/03,Hibernian,Motherwell,1,0,H,0,0,D,W Young,2,4,0,3,10,11,3,1,3,2,0,0,1.8,3.5,3.5,1.7,3.5,4.25,,,,1.8,3.5,3.5,1.73,3.4,4,1.727,3.5,4,1.61,3.5,4.5,1.7,1.9,,,
SC0,10/05/03,Livingston,Dundee United,1,2,A,0,1,A,K Clark,17,8,10,5,17,15,7,2,2,1,0,0,2.1,3.4,2.8,2,3.3,3.2,,,,2,3.4,3,1.91,3.4,3.4,1.909,3.4,3.4,2,3.3,3.1,1.8,1.8,,,
SC0,11/05/03,Rangers,Kilmarnock,4,0,H,2,0,H,A Freeland,22,7,11,2,10,19,11,3,0,5,0,0,1.143,6.5,12,1.15,6.25,12,1.15,6,12,1.167,5.5,12,1.14,6,13,1.143,6,13,1.14,6,12,1.45,2.35,,,
SC0,14/05/03,Celtic,Dundee,6,2,H,3,1,H,T Brown,12,7,7,4,10,8,11,1,1,0,0,0,1.11,7,13,1.13,6,15,1.15,6,12,1.13,6.5,12,1.13,6.5,13,1.13,6.5,13,1.12,6,15,,,,,
SC0,17/05/03,Dunfermline,Kilmarnock,2,2,D,2,1,H,M McCurry,10,9,6,4,12,19,4,2,1,3,0,0,2.5,3.2,2.5,2.5,3.2,2.55,,,,2.75,3.25,2.2,2.5,3.2,2.5,2.5,3.2,2.5,2.25,3.2,2.75,1.7,1.9,,,
SC0,17/05/03,Livingston,Hibernian,1,2,A,0,1,A,I Fyfe,8,9,2,2,16,22,3,6,0,2,0,0,2.5,3.2,2.5,2.45,3.2,2.6,,,,2.6,3.2,2.38,2.5,3.2,2.5,2.5,3.2,2.5,2.4,3.25,2.5,1.7,1.9,,,
SC0,17/05/03,Motherwell,Aberdeen,2,3,A,1,3,A,J Rowbotham,13,10,9,7,9,15,11,8,0,1,0,0,1.91,3.5,3.25,2.05,3.5,3,,,,2.25,3.5,2.5,2,3.5,3,2,3.5,3,2.3,3.3,2.6,1.7,1.9,,,
SC0,17/05/03,Partick,Dundee United,0,1,A,0,0,D,D McDonald,10,9,2,6,13,9,8,3,0,0,0,0,2.6,3.5,2.25,2.4,3.3,2.6,,,,2.63,3.5,2.2,2.5,3.4,2.38,2.5,3.4,2.38,2.4,3.25,2.5,1.8,1.8,,,
SC0,18/05/03,Hearts,Rangers,0,2,A,0,0,D,H Dallas,7,11,0,1,19,9,6,13,1,2,0,0,7,4.5,1.33,8,5,1.27,7,4,1.35,8,4.5,1.29,8.5,5,1.25,9,5,1.25,10,4.5,1.25,1.4,2.5,,,
SC0,24/05/03,Dundee United,Aberdeen,0,2,A,0,0,D,H Dallas,5,11,2,5,16,7,2,5,1,0,0,0,2.4,3.2,2.6,2.4,3.3,2.5,,,,2.6,3.2,2.375,2.4,3.2,2.6,2.4,3.2,2.6,2.4,3.25,2.5,1.7,1.9,,,
SC0,24/05/03,Hibernian,Partick,2,3,A,2,1,H,J Underhill,14,11,8,8,14,9,5,3,2,2,0,0,1.533,3.5,5.5,1.6,3.6,4.8,,,,1.533,3.75,5,1.57,3.4,5.5,1.615,3.4,5,1.61,3.5,4.5,1.75,1.85,,
SC0,24/05/03,Motherwell,Livingston,6,2,H,1,1,D,D McDonald,13,16,7,9,14,15,5,7,2,2,0,0,2.375,3.2,2.625,2.4,3.25,2.55,,,,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.3,3.2,2.62,1.7,1.9,,
SC0,25/05/03,Hearts,Dundee,1,0,H,0,0,D,W Young,8,3,1,0,13,10,9,5,0,1,0,0,1.571,3.6,5,1.65,3.5,4.5,,,,1.533,3.75,5,1.57,3.4,5.5,1.615,3.4,5,1.66,3.3,4.5,1.7,1.9,,
SC0,25/05/03,Kilmarnock,Celtic,0,4,A,0,2,A,K Clark,3,18,2,9,23,11,1,12,4,5,0,0,13,6.5,1.125,12,6,1.16,9,4.5,1.25,12,5.5,1.167,11,6,1.17,12,6.5,1.143,10,6.5,1.14,,,,
SC0,25/05/03,Rangers,Dunfermline,6,1,H,3,1,H,S Dougal,22,5,12,3,8,16,14,0,1,3,0,0,1.063,7.5,26,1.08,7.5,18,1.07,7.5,16,1.083,7,17,1.08,7,19,1.083,7,19,1.08,7,17,,,,
