Div,Date,HT,AT,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,,,,,,,,,,,
G1,24/04/05,Panathinaikos,Chalkidona,6,3,H,3,2,H,1.12,6.5,12,1.1,8,15,1.15,6,11,1.12,6.5,13,1.12,6,14,1.12,6.5,13,,,,1.83,1.83,,,,,,,,,,,,,,
G1,24/04/05,Xanthi,Iraklis,1,0,H,0,0,D,1.72,3.25,4.2,1.75,3.3,4.4,1.7,3.1,4.6,1.7,3.2,4.2,1.73,3.3,4.1,1.75,3.25,4.2,,,,1.83,1.83,1.7,1.85,-0.5,,,,,,,,,,,
G1,08/05/05,AEK,Ionikos,0,1,A,0,0,D,1.1,7,13,1.1,7.5,17,1.1,6.5,13.5,1.1,7,15,1.1,7,14,1.12,7,12,,,,,,,,,,,,,,,,,,,
G1,08/05/05,Chalkidona,Kalamaria,2,3,A,2,2,D,1.9,3.4,3.25,2,3.45,3.25,2,3.5,2.85,1.8,3.1,3.8,2,3.4,3,,,,,,,,,1.9,1.64,-0.5,,,,,,,,,,,
G1,08/05/05,Egaleo,Ergotelis,2,0,H,1,0,H,1.28,4.5,8,1.25,5,10,1.25,4.5,8.5,1.25,4.3,9.5,1.25,4.5,10,,,,,,,,,1.25,2.94,-0.5,,,,,,,,,,,
G1,08/05/05,Iraklis,Kalithea,5,1,H,1,0,H,1.83,3.2,3.75,1.9,3.15,3.85,1.9,3.05,3.5,1.85,3.1,3.6,1.83,3.25,3.75,1.91,3.2,3.6,,,,,,1.9,1.63,-0.5,,,,,,,,,,,
G1,08/05/05,Kerkyra,Olympiakos,1,3,A,1,2,A,13,7,1.1,18,8.2,1.08,13.5,6.5,1.1,15,7,1.1,14,7,1.1,15,7,1.1,,,,,,,,,,,,,,,,,,,
G1,08/05/05,OFI,Xanthi,1,0,H,1,0,H,,,,1.3,4.5,9,1.3,4.2,7.5,1.27,4.2,9,1.33,4,8,,,,,,,,,1.3,2.69,-0.5,,,,,,,,,,,
G1,08/05/05,Panionios,Aris,1,1,D,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,08/05/05,PAOK,Panathinaikos,1,1,D,1,1,D,4.33,3.4,1.66,5.2,3.3,1.65,4.6,3.2,1.65,4.8,3.1,1.65,4.33,3.4,1.66,5,3.4,1.62,4.75,3.4,1.6,1.9,1.75,1.89,1.65,0.5,,,,,,,,,,,,,,,,,,
G1,14/05/05,Ergotelis,Kerkyra,1,1,D,0,0,D,,,,1.85,2.9,4.7,1.78,3.2,3.75,1.75,3.2,4,,,,,,,,,,1.75,1.9,,,,,,,,,,,,,,,,,,,,,
G1,15/05/05,Aris,Iraklis,1,2,A,1,2,A,1.28,4.33,8.5,1.3,4.5,7.5,1.2,4.75,9,,,,1.33,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,15/05/05,Egaleo,Chalkidona,2,1,H,1,1,D,1.57,3.5,5,1.6,3.45,5.5,1.6,3.4,4.5,1.6,3.4,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,15/05/05,Ionikos,OFI,0,0,D,0,0,D,4.33,3.6,1.61,6,3.7,1.5,4.3,3.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,15/05/05,Kalamaria,PAOK,2,1,H,0,1,A,1.4,3.75,7,1.45,3.9,6.3,1.3,4.75,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,15/05/05,Olympiakos,Panionios,3,0,H,0,0,D,1.1,7,13,1.09,8.3,16,1.1,6.75,15,1.1,7,15,1.1,7,13,1.1,7,15,1.1,6.5,15,1.65,2,,,,,,,,,,,,,,,,,,,,,
G1,15/05/05,Panathinaikos,AEK,0,0,D,0,0,D,1.72,3.4,4,1.75,3.55,4.05,1.75,3.4,3.85,1.75,3.2,4,1.73,3.5,3.75,1.8,3.4,4,1.75,3.25,4,2,1.65,1.75,1.81,-0.5,,,,,,,,,,,,,,,,,,
G1,15/05/05,Xanthi,Kalithea,1,0,H,0,0,D,1.72,3.2,4.33,1.8,2.65,6,1.73,2.75,4.75,1.7,3.1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,25/05/05,AEK,Kalamaria,3,0,H,0,0,D,,,,1.16,6,14,1.17,5.5,11,1.17,5.5,11,1.14,6,13,1.14,6,13,,,,2.1,1.6,1.17,3.67,-0.5,,,,,,,,,,,,,,,,,,
G1,25/05/05,Ionikos,Xanthi,1,1,D,1,0,H,,,,2.5,2.65,3.1,2.4,2.7,3,2.45,2.8,2.75,2.3,2.75,3,,,,,,,1.71,1.95,,,,,,,,,,,,,,,,,,,,,
G1,25/05/05,Iraklis,Olympiakos,0,1,A,0,0,D,,,,8.5,4.65,1.3,7.5,5,1.28,7.5,4.6,1.27,7,4.5,1.3,9,5,1.25,,,,1.79,1.85,3,1.28,0.5,,,,,,,,,,,,,,,,,,
G1,25/05/05,Kalithea,Aris,3,1,H,1,1,D,,,,,,,2,3,3.4,,,,1.9,3,3.5,,,,,,,1.6,2.1,,,,,,,,,,,,,,,,,,,,,
G1,25/05/05,Kerkyra,Chalkidona,1,3,A,0,3,A,,,,2.7,2.8,2.7,2.4,2.95,2.7,2.5,2.8,2.7,2.4,3,2.6,,,,,,,1.65,2,,,,,,,,,,,,,,,,,,,,,
G1,25/05/05,OFI,Panathinaikos,1,2,A,0,1,A,,,,13,6.5,1.15,13,6.5,1.12,15,7,1.1,13,6.5,1.12,13,6,1.14,,,,1.79,1.85,4.33,1.12,0.5,,,,,,,,,,,,,,,,,,
G1,25/05/05,Panionios,Ergotelis,2,0,H,1,0,H,,,,1.55,3.3,6.5,1.55,3.2,6,,,,1.44,3.6,6,,,,,,,1.71,1.95,,,,,,,,,,,,,,,,,,,,,
G1,25/05/05,PAOK,Egaleo,2,4,A,1,2,A,,,,1.85,3.25,3.95,1.8,3.25,3.8,1.8,3.1,3.8,1.73,3.3,4,,,,,,,1.71,1.95
